	Energy_T
22	-83.036918
26	-83.051192
33	-82.933334
32	-83.169346
35	-83.455806
36	-83.171823
15	-83.818491
2	-83.327724
1	-83.329662
37	-83.209197
18	-83.558957
20	-83.834374
29	-83.696834
45	-83.525185
17	-83.7937
14	-83.7937
7	-83.951195
47	-83.980277
34	-83.982428
23	-84.041371
46	-84.170008
31	-84.118811
28	-84.170115
27	-84.34285
6	-84.404795
25	-84.227064
57	-84.319265
24	-84.40822
30	-84.472682
48	-84.4933
4	-84.552619
44	-84.728725
5	-84.714509
49	-84.568259
40	-84.774985
9	-84.745952
11	-84.733789
38	-84.914696
41	-84.800673
21	-84.792499
12	-84.80121
3	-85.034358
53	-85.032494
50	-85.06759
39	-85.266083
8	-85.126771
43	-85.294416
19	-85.314730
42	-85.303265
52	-85.557475
51	-85.535367
56	-85.864857
16	-85.649374
13	-85.649374
55	-85.938809
10	-85.842359
54	-86.667016
58	-86.85597
