	Energy_T	Delta_E	m_T	ECN	d_av
22	-83.036918	3.819052	2.00	4.6008	2.4432
26	-83.051192	3.804778	4.00	5.0800	2.4883
33	-82.933334	3.922636	8.00	5.8373	2.5432
32	-83.169346	3.686624	8.00	5.8797	2.5472
35	-83.455806	3.400164	2.00	4.2891	2.4241
36	-83.171823	3.684147	4.00	4.7822	2.4702
15	-83.818491	3.037479	4.00	4.2967	2.4271
2	-83.327724	3.528246	6.00	5.3707	2.5118
1	-83.329662	3.526308	6.00	5.1736	2.4969
37	-83.209197	3.646773	11.99	6.3965	2.5789
18	-83.558957	3.297013	4.00	5.5776	2.5163
20	-83.834374	3.021596	4.00	4.7644	2.4662
29	-83.696834	3.159136	6.00	5.2459	2.5020
45	-83.525185	3.330785	12.00	4.8803	2.4838
17	-83.793700	3.062270	4.00	4.9794	2.4825
14	-83.793700	3.062270	4.00	4.9794	2.4825
7	-83.951195	2.904775	6.00	5.0979	2.4881
47	-83.980277	2.875693	8.00	5.1000	2.4895
34	-83.982428	2.873542	4.00	4.7835	2.4643
23	-84.041371	2.814599	6.00	5.0267	2.4880
46	-84.170008	2.685962	6.00	4.9668	2.4792
31	-84.118811	2.737159	4.00	4.9196	2.4697
28	-84.170115	2.685855	6.00	5.1525	2.4896
27	-84.342850	2.513120	6.00	4.7913	2.4685
6	-84.404795	2.451175	6.00	4.8947	2.4728
25	-84.227064	2.628906	4.00	5.2819	2.4928
57	-84.319265	2.536705	6.00	5.3722	2.4998
24	-84.408220	2.447750	4.00	5.1853	2.4866
30	-84.472682	2.383288	2.00	4.5625	2.4448
48	-84.493300	2.362670	2.00	4.2239	2.4302
4	-84.552619	2.303351	8.00	5.3346	2.5068
44	-84.728725	2.127245	10.00	4.7164	2.4776
5	-84.714509	2.141461	10.00	5.2004	2.5064
49	-84.568259	2.287711	4.00	5.1296	2.4887
40	-84.774985	2.080985	10.00	4.8055	2.4787
9	-84.745952	2.110018	6.00	5.1935	2.4986
11	-84.733789	2.122181	6.00	4.9692	2.4810
38	-84.914696	1.941274	4.00	4.1716	2.4201
41	-84.800673	2.055297	8.00	4.7884	2.4756
21	-84.792499	2.063471	4.00	4.6499	2.4528
12	-84.801210	2.054760	10.00	5.1811	2.4957
3	-85.034358	1.821612	0.00	5.3785	2.5034
53	-85.032494	1.823476	4.00	4.5242	2.4468
50	-85.067590	1.788380	4.00	4.2045	2.4261
39	-85.266083	1.589887	8.00	4.3373	2.4456
8	-85.126771	1.729199	8.00	5.2389	2.4981
43	-85.294416	1.561554	2.00	4.7235	2.4571
19	-85.314730	1.541240	2.00	3.9026	2.4114
42	-85.303265	1.552705	8.00	5.4716	2.5052
52	-85.557475	1.298495	6.00	4.3815	2.4395
51	-85.535367	1.320603	4.00	4.6778	2.4587
56	-85.864857	0.991113	2.00	3.2884	2.3540
16	-85.649374	1.206596	4.00	4.0755	2.4128
13	-85.649374	1.206596	4.00	4.0755	2.4128
55	-85.938809	0.917161	4.00	3.6452	2.3825
10	-85.842359	1.013611	4.00	4.1148	2.4183
54	-86.667016	0.188954	4.00	3.5414	2.3720
58	-86.855970	0.000000	4.00	3.8341	2.4036

